IdAno,Ano,Estado
1,1929,Disponible
2,1930,Disponible
3,1931,Disponible
4,1932,Disponible
5,1933,Disponible
6,1934,Disponible
7,1935,Disponible
8,1936,Disponible
9,1937,Disponible
10,1938,Disponible
11,1939,Disponible
12,1940,Disponible
13,1941,Disponible
14,1942,Disponible
15,1943,Disponible
16,1944,Disponible
17,1945,Disponible
18,1946,Disponible
19,1947,Disponible
20,1948,Disponible
21,1949,Disponible
22,1950,Disponible
23,1951,Disponible
24,1952,Disponible
25,1953,Disponible
26,1954,Disponible
27,1955,Disponible
28,1956,Disponible
29,1957,Disponible
30,1958,Disponible
31,1959,Disponible
32,1960,Disponible
33,1961,Disponible
34,1962,Disponible
35,1963,Disponible
36,1964,Disponible
37,1965,Disponible
38,1966,Disponible
39,1967,Disponible
40,1968,Disponible
41,1969,Disponible
42,1970,Disponible
43,1971,Disponible
44,1972,Disponible
45,1973,Disponible
46,1974,Disponible
47,1975,Disponible
48,1976,Disponible
49,1977,Disponible
50,1978,Disponible
51,1979,Disponible
52,1980,Disponible
53,1981,Disponible
54,1982,Disponible
55,1983,Disponible
56,1984,Disponible
57,1985,Disponible
58,1986,Disponible
59,1987,Disponible
60,1988,Disponible
61,1989,Disponible
62,1990,Disponible
63,1991,Disponible
64,1992,Disponible
65,1993,Disponible
66,1994,Disponible
67,1995,Disponible
68,1996,Disponible
69,1997,Disponible
70,1998,Disponible
71,1999,Disponible
72,2000,Disponible
73,2001,Disponible
74,2002,Disponible
75,2003,Disponible
76,2004,Disponible
77,2005,Disponible
78,2006,Disponible
79,2007,Disponible
80,2008,Disponible
81,2009,Disponible
82,2010,Disponible
83,2011,Disponible
84,2012,Disponible
85,2013,Disponible
86,2014,Disponible
87,2015,Disponible
88,2016,Disponible
89,2017,Disponible
90,2018,Disponible
91,2019,Disponible
