idDia,Dia,Estado
1,1,Disponible
2,2,Disponible
3,3,Disponible
4,4,Disponible
5,5,Disponible
6,6,Disponible
7,7,Disponible
8,8,Disponible
9,9,Disponible
10,10,Disponible
11,11,Disponible
12,12,Disponible
13,13,Disponible
14,14,Disponible
15,15,Disponible
16,16,Disponible
17,17,Disponible
18,18,Disponible
19,19,Disponible
20,20,Disponible
21,21,Disponible
22,22,Disponible
23,23,Disponible
24,24,Disponible
25,25,Disponible
26,26,Disponible
27,27,Disponible
28,28,Disponible
29,29,Disponible
30,30,Disponible
31,31,Disponible
