IdLimite,LIMITE_DIARIO_ANTERIOR,LIMITE_DIARIO_ACTUAL,FECHA_ACTUALIZACION_DIA,LIMITE_SEMANA_ANTERIOR,LIMITE_SEMANA_ACTUAL,FECHA_ACTUALIZACION_SEMANA,LIMITE_MENSUAL_ANTERIOR,LIMITE_MENSUAL_ACTUAL,FECHA_ACTUALIZACION_MENSUAL,LIMITE_PERDIDA_DIARIO_ANTERIOR,LIMITE_PERDIDA_DIARIO_ACTUAL,FECHA_ACTUAL_DIARIO_PERDIDA,LIMITE_PERDIDA_SEMANA_ANTERIOR,LIMITE_PERDIDA_SEMANA_ACTUAL,FECHA_ACTUAL_SEMANA_PERDIDA,LIMITE_PERDIDA_MES_ANTERIOR ,LIMITE_PERDIDA_MES_ACTUAL,FECHA_ACTUAL_MES_PERDIDA ,TIEMPO_ACTIVIDAD_SESSION,IdUsuario,ESTADO
1,317041.25,577924.35,6/19/2019 0:00,676656.55,826067.50,2/16/2019 0:00,957085.80,375641.31,3/29/2019 0:00,288962.18,173377.31,3/29/2019 0:00,338328.28,135331.31,3/29/2019 0:00,574251.48,95708.58,3/29/2019 0:00,2,1,Disponible
2,476660.92,135286.86,10/4/2019 0:00,699208.86,648312.42,7/31/2019 0:00,490738.20,805124.75,5/20/2019 0:00,67643.43,40586.06,5/20/2019 0:00,349604.43,139841.77,5/20/2019 0:00,294442.92,49073.82,5/20/2019 0:00,2,2,Disponible
3,208440.43,509036.09,5/23/2019 0:00,160330.47,656531.05,8/14/2019 0:00,975224.68,232849.97,2/14/2019 0:00,254518.05,152710.83,2/14/2019 0:00,80165.24,32066.09,2/14/2019 0:00,585134.81,97522.47,2/14/2019 0:00,4,3,Disponible
4,997299.84,927980.50,2/7/2019 0:00,921936.55,24441.24,8/24/2019 0:00,982899.64,332909.48,9/22/2019 0:00,463990.25,278394.15,9/22/2019 0:00,460968.28,184387.31,9/22/2019 0:00,589739.78,98289.96,9/22/2019 0:00,9,4,Disponible
5,128670.84,790953.81,7/2/2019 0:00,474557.11,847995.32,5/13/2019 0:00,317471.18,895814.03,12/11/2018 0:00,395476.91,237286.14,12/11/2018 0:00,237278.56,94911.42,12/11/2018 0:00,190482.71,31747.12,12/11/2018 0:00,5,5,Disponible
6,826445.31,84318.47,4/19/2019 0:00,791658.97,745355.22,8/12/2019 0:00,586139.90,354988.17,4/1/2019 0:00,42159.24,25295.54,4/1/2019 0:00,395829.49,158331.79,4/1/2019 0:00,351683.94,58613.99,4/1/2019 0:00,1,6,Disponible
7,504625.06,443194.33,1/13/2019 0:00,906862.90,161238.44,12/20/2018 0:00,507842.24,851305.41,4/9/2019 0:00,221597.17,132958.30,4/9/2019 0:00,453431.45,181372.58,4/9/2019 0:00,304705.34,50784.22,4/9/2019 0:00,2,7,Disponible
8,490166.44,305431.68,8/29/2019 0:00,750696.66,678812.45,10/3/2019 0:00,212458.92,166277.00,6/27/2019 0:00,152715.84,91629.50,6/27/2019 0:00,375348.33,150139.33,6/27/2019 0:00,127475.35,21245.89,6/27/2019 0:00,1,8,Disponible
9,864494.93,815640.77,10/12/2019 0:00,801949.97,685617.35,10/7/2019 0:00,711951.62,831392.21,10/17/2019 0:00,407820.39,244692.23,10/17/2019 0:00,400974.99,160389.99,10/17/2019 0:00,427170.97,71195.16,10/17/2019 0:00,3,9,Disponible
10,525534.96,805254.28,10/9/2019 0:00,473331.02,470720.79,11/23/2018 0:00,867929.55,555370.65,7/28/2019 0:00,402627.14,241576.28,7/28/2019 0:00,236665.51,94666.20,7/28/2019 0:00,520757.73,86792.96,7/28/2019 0:00,6,10,Disponible
11,109935.10,885451.33,6/2/2019 0:00,499791.54,460999.05,1/28/2019 0:00,591440.74,372871.26,4/11/2019 0:00,442725.67,265635.40,4/11/2019 0:00,249895.77,99958.31,4/11/2019 0:00,354864.44,59144.07,4/11/2019 0:00,11,11,Disponible
12,787519.36,424544.88,8/5/2019 0:00,628100.79,548291.59,8/9/2019 0:00,585316.73,791122.93,3/26/2019 0:00,212272.44,127363.46,3/26/2019 0:00,314050.40,125620.16,3/26/2019 0:00,351190.04,58531.67,3/26/2019 0:00,6,12,Disponible
