ID;ID_USUARIO;ACEPTA_TERMINOS_CONDICIONES;ACEPTA_INFORMACION_COMERCIAL;ACEPTA_BARRIO;ID_BONO;ACEPTA_BOLETIN_INFORMATIVO;ACEPTA_CORREO_APUESTAS;ACEPTA_ENVIO_SMS;ACEPTA_NOTIFICACIONES;ACEPTA_AVISOS_BOLETA_APUESTA;LIMITE_APUESTAS_DIARIA;LIMITE_APUESTAS_SEMANAL;LIMITE_APUESTAS_MENSUAL;ESTADO
;1;1;1;1;1;1;1;1;1;1;100000.00;567850.00;1234567.00;disponible
;2;1;1;1;2;1;1;1;1;1;100000.01;567850.01;1234567.01;disponible
;3;1;1;1;3;1;1;1;1;1;100000.02;567850.02;1234567.02;disponible
;4;1;1;1;4;1;1;1;1;1;100000.03;567850.03;1234567.03;disponible
;5;1;1;1;5;1;1;1;1;1;100000.04;567850.04;1234567.04;disponible
;6;1;1;1;6;1;1;1;1;1;100000.05;567850.05;1234567.05;disponible
;7;1;1;1;1;1;1;1;1;1;100000.06;567850.06;1234567.06;disponible
;8;1;1;1;2;1;1;1;1;1;100000.07;567850.07;1234567.07;disponible
;9;1;1;1;3;1;1;1;1;1;100000.08;567850.08;1234567.08;disponible
;10;1;1;1;4;1;1;1;1;1;100000.09;567850.09;1234567.09;disponible
;11;1;1;1;5;1;1;1;1;1;100000.10;567850.10;1234567.10;disponible
;12;1;1;1;1;1;1;1;1;1;100000.11;567850.11;1234567.11;disponible
;13;1;1;1;2;1;1;1;1;1;100000.12;567850.12;1234567.12;disponible
;14;1;1;1;3;1;1;1;1;1;100000.13;567850.13;1234567.13;disponible
;15;1;1;1;4;1;1;1;1;1;100000.14;567850.14;1234567.14;disponible
;16;1;1;1;5;1;1;1;1;1;100000.15;567850.15;1234567.15;disponible
;17;1;1;1;6;1;1;1;1;1;100000.16;567850.16;1234567.16;disponible
;18;1;1;1;1;1;1;1;1;1;100000.17;567850.17;1234567.17;disponible
;19;1;1;1;2;1;1;1;1;1;100000.18;567850.18;1234567.18;disponible
;20;1;1;1;3;1;1;1;1;1;100000.19;567850.19;1234567.19;disponible
;21;1;1;1;4;1;1;1;1;1;100000.20;567850.20;1234567.20;disponible
;22;1;1;1;5;1;1;1;1;1;100000.21;567850.21;1234567.21;disponible
;23;1;1;1;6;1;1;1;1;1;100000.22;567850.22;1234567.22;disponible
;24;1;1;1;1;1;1;1;1;1;100000.23;567850.23;1234567.23;disponible
;25;1;1;1;2;1;1;1;1;1;100000.24;567850.24;1234567.24;disponible
;26;1;1;1;3;1;1;1;1;1;100000.25;567850.25;1234567.25;disponible
;27;1;1;1;4;1;1;1;1;1;100000.26;567850.26;1234567.26;disponible
;28;1;1;1;5;1;1;1;1;1;100000.27;567850.27;1234567.27;disponible
;29;1;1;1;6;1;1;1;1;1;100000.28;567850.28;1234567.28;disponible
;30;1;1;1;1;1;1;1;1;1;100000.29;567850.29;1234567.29;disponible
;31;1;1;1;2;1;1;1;1;1;100000.30;567850.30;1234567.30;disponible
;32;1;1;1;3;1;1;1;1;1;100000.31;567850.31;1234567.31;disponible
;33;1;1;1;4;1;1;1;1;1;100000.32;567850.32;1234567.32;disponible
;34;1;1;1;5;1;1;1;1;1;100000.33;567850.33;1234567.33;disponible
;35;1;1;1;6;1;1;1;1;1;100000.34;567850.34;1234567.34;disponible
;36;1;1;1;1;1;1;1;1;1;100000.35;567850.35;1234567.35;disponible
;37;1;1;1;2;1;1;1;1;1;100000.36;567850.36;1234567.36;disponible
;38;1;1;1;3;1;1;1;1;1;100000.37;567850.37;1234567.37;disponible
;39;1;1;1;4;1;1;1;1;1;100000.38;567850.38;1234567.38;disponible
;40;1;1;1;5;1;1;1;1;1;100000.39;567850.39;1234567.39;disponible
;41;1;1;1;6;1;1;1;1;1;100000.40;567850.40;1234567.40;disponible
;42;1;1;1;1;1;1;1;1;1;100000.41;567850.41;1234567.41;disponible
;43;1;1;1;2;1;1;1;1;1;100000.42;567850.42;1234567.42;disponible
;44;1;1;1;3;1;1;1;1;1;100000.43;567850.43;1234567.43;disponible
;45;1;1;1;4;1;1;1;1;1;100000.44;567850.44;1234567.44;disponible
;46;1;1;1;5;1;1;1;1;1;100000.45;567850.45;1234567.45;disponible
;47;1;1;1;6;1;1;1;1;1;100000.46;567850.46;1234567.46;disponible
;48;1;1;1;1;1;1;1;1;1;100000.47;567850.47;1234567.47;disponible
;49;1;1;1;2;1;1;1;1;1;100000.48;567850.48;1234567.48;disponible
