idZonaHoraria,ZonaHoraria,Estado
1,GMT+9:30,Disponible
2,GMT+10:00,Disponible
3,GMT+00:00,Disponible
4,GMT+00:00,Disponible
5,GMT+3:00,Disponible
6,GMT+1:00,Disponible
7,GMT+3:00,Disponible
8,GMT+3:00,Disponible
9,GMT+00:00,Disponible
10,GMT+1:00,Disponible
11,GMT+00:00,Disponible
12,GMT+00:00,Disponible
13,GMT+2:00,Disponible
14,GMT+1:00,Disponible
15,GMT+2:00,Disponible
16,GMT+2:00,Disponible
17,GMT+00:00,Disponible
18,GMT+1:00,Disponible
19,GMT+00:00,Disponible
20,GMT+00:00,Disponible
21,GMT+3:00,Disponible
22,GMT+3:00,Disponible
23,GMT+1:00,Disponible
24,GMT+00:00,Disponible
25,GMT+00:00,Disponible
26,GMT+2:00,Disponible
27,GMT+2:00,Disponible
28,GMT+2:00,Disponible
29,GMT+3:00,Disponible
30,GMT+3:00,Disponible
31,GMT+2:00,Disponible
32,GMT+1:00,Disponible
33,GMT+1:00,Disponible
34,GMT+1:00,Disponible
35,GMT+00:00,Disponible
36,GMT+1:00,Disponible
37,GMT+2:00,Disponible
38,GMT+2:00,Disponible
39,GMT+1:00,Disponible
40,GMT+2:00,Disponible
41,GMT+2:00,Disponible
42,GMT+2:00,Disponible
43,GMT+3:00,Disponible
44,GMT+00:00,Disponible
45,GMT+3:00,Disponible
46,GMT+1:00,Disponible
47,GMT+1:00,Disponible
48,GMT+00:00,Disponible
49,GMT+00:00,Disponible
50,GMT+1:00,Disponible
51,GMT+00:00,Disponible
52,GMT+00:00,Disponible
53,GMT+2:00,Disponible
54,GMT+1:00,Disponible
55,GMT+1:00,Disponible
56,GMT-3:00,Disponible
57,GMT-10:00,Disponible
58,GMT-9:00,Disponible
59,GMT-4:00,Disponible
60,GMT-4:00,Disponible
61,GMT-3:00,Disponible
62,GMT-3:00,Disponible
63,GMT-3:00,Disponible
64,GMT-3:00,Disponible
65,GMT-3:00,Disponible
66,GMT-3:00,Disponible
67,GMT-3:00,Disponible
68,GMT-3:00,Disponible
69,GMT-3:00,Disponible
70,GMT-3:00,Disponible
71,GMT-3:00,Disponible
72,GMT-4:00,Disponible
73,GMT-3:00,Disponible
74,GMT-3:00,Disponible
75,GMT-4:00,Disponible
76,GMT-4:00,Disponible
77,GMT-5:00,Disponible
78,GMT-10:00,Disponible
79,GMT-3:00,Disponible
80,GMT-4:00,Disponible
81,GMT-3:00,Disponible
82,GMT-6:00,Disponible
83,GMT-4:00,Disponible
84,GMT-4:00,Disponible
85,GMT-5:00,Disponible
86,GMT-7:00,Disponible
87,GMT-3:00,Disponible
88,GMT-7:00,Disponible
89,GMT-4:00,Disponible
90,GMT-6:00,Disponible
91,GMT-4:30,Disponible
92,GMT-3:00,Disponible
93,GMT-3:00,Disponible
94,GMT-5:00,Disponible
95,GMT-6:00,Disponible
96,GMT-7:00,Disponible
97,GMT-5:00,Disponible
98,GMT-3:00,Disponible
99,GMT-6:00,Disponible
100,GMT-4:00,Disponible
101,GMT-4:00,Disponible
102,GMT+00:00,Disponible
103,GMT-8:00,Disponible
104,GMT-7:00,Disponible
105,GMT-7:00,Disponible
106,GMT-5:00,Disponible
107,GMT-4:00,Disponible
108,GMT-7:00,Disponible
109,GMT-4:00,Disponible
110,GMT-6:00,Disponible
111,GMT-8:00,Disponible
112,GMT-5:00,Disponible
113,GMT-3:00,Disponible
114,GMT-4:00,Disponible
115,GMT-3:00,Disponible
116,GMT-4:00,Disponible
117,GMT-5:00,Disponible
118,GMT-4:00,Disponible
119,GMT-4:00,Disponible
120,GMT-6:00,Disponible
121,GMT-5:00,Disponible
122,GMT-4:00,Disponible
123,GMT-4:00,Disponible
124,GMT-5:00,Disponible
125,GMT-7:00,Disponible
126,GMT-5:00,Disponible
127,GMT-6:00,Disponible
128,GMT-5:00,Disponible
129,GMT-5:00,Disponible
130,GMT-6:00,Disponible
131,GMT-5:00,Disponible
132,GMT-5:00,Disponible
133,GMT-5:00,Disponible
134,GMT-5:00,Disponible
135,GMT-7:00,Disponible
136,GMT-5:00,Disponible
137,GMT-5:00,Disponible
138,GMT-3:00,Disponible
139,GMT-9:00,Disponible
140,GMT-5:00,Disponible
141,GMT-5:00,Disponible
142,GMT-6:00,Disponible
143,GMT-4:00,Disponible
144,GMT-5:00,Disponible
145,GMT-8:00,Disponible
146,GMT-5:00,Disponible
147,GMT-3:00,Disponible
148,GMT-6:00,Disponible
149,GMT-4:00,Disponible
150,GMT-4:00,Disponible
151,GMT-4:00,Disponible
152,GMT-7:00,Disponible
153,GMT-3:00,Disponible
154,GMT-6:00,Disponible
155,GMT-6:00,Disponible
156,GMT-6:00,Disponible
157,GMT-3:00,Disponible
158,GMT-4:00,Disponible
159,GMT-6:00,Disponible
160,GMT-3:00,Disponible
161,GMT-5:00,Disponible
162,GMT-4:00,Disponible
163,GMT-5:00,Disponible
164,GMT-5:00,Disponible
165,GMT-5:00,Disponible
166,GMT-9:00,Disponible
167,GMT-2:00,Disponible
168,GMT-6:00,Disponible
169,GMT-6:00,Disponible
170,GMT-5:00,Disponible
171,GMT-5:00,Disponible
172,GMT-3:00,Disponible
173,GMT-7:00,Disponible
174,GMT-4:00,Disponible
175,GMT-5:00,Disponible
176,GMT-4:00,Disponible
177,GMT-4:00,Disponible
178,GMT-4:00,Disponible
179,GMT-6:00,Disponible
180,GMT-6:00,Disponible
181,GMT-3:00,Disponible
182,GMT-6:00,Disponible
183,GMT-5:00,Disponible
184,GMT-4:00,Disponible
185,GMT-3:00,Disponible
186,GMT-3:00,Disponible
187,GMT-4:00,Disponible
188,GMT-4:00,Disponible
189,GMT-3:00,Disponible
190,GMT-1:00,Disponible
191,GMT-7:00,Disponible
192,GMT-4:00,Disponible
193,GMT-3:30,Disponible
194,GMT-4:00,Disponible
195,GMT-4:00,Disponible
196,GMT-4:00,Disponible
197,GMT-4:00,Disponible
198,GMT-6:00,Disponible
199,GMT-6:00,Disponible
200,GMT-4:00,Disponible
201,GMT-5:00,Disponible
202,GMT-8:00,Disponible
